Dialect Telugu,Standard Telugu,English Meaning
em chestunnav,emi chestunnaru,What are you doing? (0)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (1)
vachava,meeru vachara,Did you come? (2)
tinnava,meeru tinnara,Did you eat? (3)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (4)
em chestunnav,emi chestunnaru,What are you doing? (5)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (6)
vachava,meeru vachara,Did you come? (7)
tinnava,meeru tinnara,Did you eat? (8)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (9)
em chestunnav,emi chestunnaru,What are you doing? (10)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (11)
vachava,meeru vachara,Did you come? (12)
tinnava,meeru tinnara,Did you eat? (13)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (14)
em chestunnav,emi chestunnaru,What are you doing? (15)
nuvvu ekkadiki vellav,meeru ekkadiki vellaru,Where did you go? (16)
vachava,meeru vachara,Did you come? (17)
tinnava,meeru tinnara,Did you eat? (18)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru,Why are you saying like this? (19)
em chestunnav,emi chestunnaru,What are you doing? (20)
nuvvu ekkadiki vellav_21,meeru ekkadiki vellaru_21,Where did you go? (21)
vachava,meeru vachara_22,Did you come? (22)
tinnava,meeru tinnara_23,Did you eat? (23)
endhuku ila cheptunnav,meeru endhuku ila cheptunnaru_24,Why are you saying like this? (24)
em chestunnav_25,emi chestunnaru_25,What are you doing? (25)
nuvvu ekkadiki vellav_26,meeru ekkadiki vellaru_26,Where did you go? (26)
vachava_27,meeru vachara_27,Did you come? (27)
tinnava_28,meeru tinnara_28,Did you eat? (28)
endhuku ila cheptunnav_29,meeru endhuku ila cheptunnaru_29,Why are you saying like this? (29)
em chestunnav_30,emi chestunnaru_30,What are you doing? (30)
nuvvu ekkadiki vellav_31,meeru ekkadiki vellaru_31,Where did you go? (31)
vachava_32,meeru vachara_32,Did you come? (32)
tinnava_33,meeru tinnara_33,Did you eat? (33)
endhuku ila cheptunnav_34,meeru endhuku ila cheptunnaru_34,Why are you saying like this? (34)
em chestunnav_35,emi chestunnaru_35,What are you doing? (35)
nuvvu ekkadiki vellav_36,meeru ekkadiki vellaru_36,Where did you go? (36)
vachava_37,meeru vachara_37,Did you come? (37)
tinnava_38,meeru tinnara_38,Did you eat? (38)
endhuku ila cheptunnav_39,meeru endhuku ila cheptunnaru_39,Why are you saying like this? (39)
em chestunnav_40,emi chestunnaru_40,What are you doing? (40)
nuvvu ekkadiki vellav_41,meeru ekkadiki vellaru_41,Where did you go? (41)
vachava_42,meeru vachara_42,Did you come? (42)
tinnava_43,meeru tinnara_43,Did you eat? (43)
endhuku ila cheptunnav_44,meeru endhuku ila cheptunnaru_44,Why are you saying like this? (44)
em chestunnav_45,emi chestunnaru_45,What are you doing? (45)
nuvvu ekkadiki vellav_46,meeru ekkadiki vellaru_46,Where did you go? (46)
vachava_47,meeru vachara_47,Did you come? (47)
tinnava_48,meeru tinnara_48,Did you eat? (48)
endhuku ila cheptunnav_49,meeru endhuku ila cheptunnaru_49,Why are you saying like this? (49)
em chestunnav_50,emi chestunnaru_50,What are you doing? (50)
nuvvu ekkadiki vellav_51,meeru ekkadiki vellaru_51,Where did you go? (51)
vachava_52,meeru vachara_52,Did you come? (52)
tinnava_53,meeru tinnara_53,Did you eat? (53)
endhuku ila cheptunnav_54,meeru endhuku ila cheptunnaru_54,Why are you saying like this? (54)
em chestunnav_55,emi chestunnaru_55,What are you doing? (55)
nuvvu ekkadiki vellav_56,meeru ekkadiki vellaru_56,Where did you go? (56)
vachava_57,meeru vachara_57,Did you come? (57)
tinnava_58,meeru tinnara_58,Did you eat? (58)
endhuku ila cheptunnav_59,meeru endhuku ila cheptunnaru_59,Why are you saying like this? (59)
em chestunnav_60,emi chestunnaru_60,What are you doing? (60)
nuvvu ekkadiki vellav_61,meeru ekkadiki vellaru_61,Where did you go? (61)
vachava_62,meeru vachara_62,Did you come? (62)
tinnava_63,meeru tinnara_63,Did you eat? (63)
endhuku ila cheptunnav_64,meeru endhuku ila cheptunnaru_64,Why are you saying like this? (64)
em chestunnav_65,emi chestunnaru_65,What are you doing? (65)
nuvvu ekkadiki vellav_66,meeru ekkadiki vellaru_66,Where did you go? (66)
vachava_67,meeru vachara_67,Did you come? (67)
tinnava_68,meeru tinnara_68,Did you eat? (68)
endhuku ila cheptunnav_69,meeru endhuku ila cheptunnaru_69,Why are you saying like this? (69)
em chestunnav_70,emi chestunnaru_70,What are you doing? (70)
nuvvu ekkadiki vellav_71,meeru ekkadiki vellaru_71,Where did you go? (71)
vachava_72,meeru vachara_72,Did you come? (72)
tinnava_73,meeru tinnara_73,Did you eat? (73)
endhuku ila cheptunnav_74,meeru endhuku ila cheptunnaru_74,Why are you saying like this? (74)
em chestunnav_75,emi chestunnaru_75,What are you doing? (75)
nuvvu ekkadiki vellav_76,meeru ekkadiki vellaru_76,Where did you go? (76)
vachava_77,meeru vachara_77,Did you come? (77)
tinnava_78,meeru tinnara_78,Did you eat? (78)
endhuku ila cheptunnav_79,meeru endhuku ila cheptunnaru_79,Why are you saying like this? (79)
em chestunnav_80,emi chestunnaru_80,What are you doing? (80)
nuvvu ekkadiki vellav_81,meeru ekkadiki vellaru_81,Where did you go? (81)
vachava_82,meeru vachara_82,Did you come? (82)
tinnava_83,meeru tinnara_83,Did you eat? (83)
endhuku ila cheptunnav_84,meeru endhuku ila cheptunnaru_84,Why are you saying like this? (84)
em chestunnav_85,emi chestunnaru_85,What are you doing? (85)
nuvvu ekkadiki vellav_86,meeru ekkadiki vellaru_86,Where did you go? (86)
vachava_87,meeru vachara_87,Did you come? (87)
tinnava_88,meeru tinnara_88,Did you eat? (88)
endhuku ila cheptunnav_89,meeru endhuku ila cheptunnaru_89,Why are you saying like this? (89)
em chestunnav_90,emi chestunnaru_90,What are you doing? (90)
nuvvu ekkadiki vellav_91,meeru ekkadiki vellaru_91,Where did you go? (91)
vachava_92,meeru vachara_92,Did you come? (92)
tinnava_93,meeru tinnara_93,Did you eat? (93)
endhuku ila cheptunnav_94,meeru endhuku ila cheptunnaru_94,Why are you saying like this? (94)
em chestunnav_95,emi chestunnaru_95,What are you doing? (95)
nuvvu ekkadiki vellav_96,meeru ekkadiki vellaru_96,Where did you go? (96)
vachava_97,meeru vachara_97,Did you come? (97)
tinnava_98,meeru tinnara_98,Did you eat? (98)
endhuku ila cheptunnav_99,meeru endhuku ila cheptunnaru_99,Why are you saying like this? (99)
em chestunnav_100,emi chestunnaru_100,What are you doing? (100)
nuvvu ekkadiki vellav_101,meeru ekkadiki vellaru_101,Where did you go? (101)
vachava_102,meeru vachara_102,Did you come? (102)
tinnava_103,meeru tinnara_103,Did you eat? (103)
endhuku ila cheptunnav_104,meeru endhuku ila cheptunnaru_104,Why are you saying like this? (104)
em chestunnav_105,emi chestunnaru_105,What are you doing? (105)
nuvvu ekkadiki vellav_106,meeru ekkadiki vellaru_106,Where did you go? (106)
vachava_107,meeru vachara_107,Did you come? (107)
tinnava_108,meeru tinnara_108,Did you eat? (108)
endhuku ila cheptunnav_109,meeru endhuku ila cheptunnaru_109,Why are you saying like this? (109)
em chestunnav_110,emi chestunnaru_110,What are you doing? (110)
nuvvu ekkadiki vellav_111,meeru ekkadiki vellaru_111,Where did you go? (111)
vachava_112,meeru vachara_112,Did you come? (112)
tinnava_113,meeru tinnara_113,Did you eat? (113)
endhuku ila cheptunnav_114,meeru endhuku ila cheptunnaru_114,Why are you saying like this? (114)
em chestunnav_115,emi chestunnaru_115,What are you doing? (115)
nuvvu ekkadiki vellav_116,meeru ekkadiki vellaru_116,Where did you go? (116)
vachava_117,meeru vachara_117,Did you come? (117)
tinnava_118,meeru tinnara_118,Did you eat? (118)
endhuku ila cheptunnav_119,meeru endhuku ila cheptunnaru_119,Why are you saying like this? (119)
em chestunnav_120,emi chestunnaru_120,What are you doing? (120)
nuvvu ekkadiki vellav_121,meeru ekkadiki vellaru_121,Where did you go? (121)
vachava_122,meeru vachara_122,Did you come? (122)
tinnava_123,meeru tinnara_123,Did you eat? (123)
endhuku ila cheptunnav_124,meeru endhuku ila cheptunnaru_124,Why are you saying like this? (124)
em chestunnav_125,emi chestunnaru_125,What are you doing? (125)
nuvvu ekkadiki vellav_126,meeru ekkadiki vellaru_126,Where did you go? (126)
vachava_127,meeru vachara_127,Did you come? (127)
tinnava_128,meeru tinnara_128,Did you eat? (128)
endhuku ila cheptunnav_129,meeru endhuku ila cheptunnaru_129,Why are you saying like this? (129)
em chestunnav_130,emi chestunnaru_130,What are you doing? (130)
nuvvu ekkadiki vellav_131,meeru ekkadiki vellaru_131,Where did you go? (131)
vachava_132,meeru vachara_132,Did you come? (132)
tinnava_133,meeru tinnara_133,Did you eat? (133)
endhuku ila cheptunnav_134,meeru endhuku ila cheptunnaru_134,Why are you saying like this? (134)
em chestunnav_135,emi chestunnaru_135,What are you doing? (135)
nuvvu ekkadiki vellav_136,meeru ekkadiki vellaru_136,Where did you go? (136)
vachava_137,meeru vachara_137,Did you come? (137)
tinnava_138,meeru tinnara_138,Did you eat? (138)
endhuku ila cheptunnav_139,meeru endhuku ila cheptunnaru_139,Why are you saying like this? (139)
em chestunnav_140,emi chestunnaru_140,What are you doing? (140)
nuvvu ekkadiki vellav_141,meeru ekkadiki vellaru_141,Where did you go? (141)
vachava_142,meeru vachara_142,Did you come? (142)
tinnava_143,meeru tinnara_143,Did you eat? (143)
endhuku ila cheptunnav_144,meeru endhuku ila cheptunnaru_144,Why are you saying like this? (144)
em chestunnav_145,emi chestunnaru_145,What are you doing? (145)
nuvvu ekkadiki vellav_146,meeru ekkadiki vellaru_146,Where did you go? (146)
vachava_147,meeru vachara_147,Did you come? (147)
tinnava_148,meeru tinnara_148,Did you eat? (148)
endhuku ila cheptunnav_149,meeru endhuku ila cheptunnaru_149,Why are you saying like this? (149)
em chestunnav_150,emi chestunnaru_150,What are you doing? (150)
nuvvu ekkadiki vellav_151,meeru ekkadiki vellaru_151,Where did you go? (151)
vachava_152,meeru vachara_152,Did you come? (152)
tinnava_153,meeru tinnara_153,Did you eat? (153)
endhuku ila cheptunnav_154,meeru endhuku ila cheptunnaru_154,Why are you saying like this? (154)
em chestunnav_155,emi chestunnaru_155,What are you doing? (155)
nuvvu ekkadiki vellav_156,meeru ekkadiki vellaru_156,Where did you go? (156)
vachava_157,meeru vachara_157,Did you come? (157)
tinnava_158,meeru tinnara_158,Did you eat? (158)
endhuku ila cheptunnav_159,meeru endhuku ila cheptunnaru_159,Why are you saying like this? (159)
em chestunnav_160,emi chestunnaru_160,What are you doing? (160)
nuvvu ekkadiki vellav_161,meeru ekkadiki vellaru_161,Where did you go? (161)
vachava_162,meeru vachara_162,Did you come? (162)
tinnava_163,meeru tinnara_163,Did you eat? (163)
endhuku ila cheptunnav_164,meeru endhuku ila cheptunnaru_164,Why are you saying like this? (164)
em chestunnav_165,emi chestunnaru_165,What are you doing? (165)
nuvvu ekkadiki vellav_166,meeru ekkadiki vellaru_166,Where did you go? (166)
vachava_167,meeru vachara_167,Did you come? (167)
tinnava_168,meeru tinnara_168,Did you eat? (168)
endhuku ila cheptunnav_169,meeru endhuku ila cheptunnaru_169,Why are you saying like this? (169)
em chestunnav_170,emi chestunnaru_170,What are you doing? (170)
nuvvu ekkadiki vellav_171,meeru ekkadiki vellaru_171,Where did you go? (171)
vachava_172,meeru vachara_172,Did you come? (172)
tinnava_173,meeru tinnara_173,Did you eat? (173)
endhuku ila cheptunnav_174,meeru endhuku ila cheptunnaru_174,Why are you saying like this? (174)
em chestunnav_175,emi chestunnaru_175,What are you doing? (175)
nuvvu ekkadiki vellav_176,meeru ekkadiki vellaru_176,Where did you go? (176)
vachava_177,meeru vachara_177,Did you come? (177)
tinnava_178,meeru tinnara_178,Did you eat? (178)
endhuku ila cheptunnav_179,meeru endhuku ila cheptunnaru_179,Why are you saying like this? (179)
em chestunnav_180,emi chestunnaru_180,What are you doing? (180)
nuvvu ekkadiki vellav_181,meeru ekkadiki vellaru_181,Where did you go? (181)
vachava_182,meeru vachara_182,Did you come? (182)
tinnava_183,meeru tinnara_183,Did you eat? (183)
endhuku ila cheptunnav_184,meeru endhuku ila cheptunnaru_184,Why are you saying like this? (184)
em chestunnav_185,emi chestunnaru_185,What are you doing? (185)
nuvvu ekkadiki vellav_186,meeru ekkadiki vellaru_186,Where did you go? (186)
vachava_187,meeru vachara_187,Did you come? (187)
tinnava_188,meeru tinnara_188,Did you eat? (188)
endhuku ila cheptunnav_189,meeru endhuku ila cheptunnaru_189,Why are you saying like this? (189)
em chestunnav_190,emi chestunnaru_190,What are you doing? (190)
nuvvu ekkadiki vellav_191,meeru ekkadiki vellaru_191,Where did you go? (191)
vachava_192,meeru vachara_192,Did you come? (192)
tinnava_193,meeru tinnara_193,Did you eat? (193)
endhuku ila cheptunnav_194,meeru endhuku ila cheptunnaru_194,Why are you saying like this? (194)
em chestunnav_195,emi chestunnaru_195,What are you doing? (195)
nuvvu ekkadiki vellav_196,meeru ekkadiki vellaru_196,Where did you go? (196)
vachava_197,meeru vachara_197,Did you come? (197)
tinnava_198,meeru tinnara_198,Did you eat? (198)
endhuku ila cheptunnav_199,meeru endhuku ila cheptunnaru_199,Why are you saying like this? (199)
em chestunnav_200,emi chestunnaru_200,What are you doing? (200)
nuvvu ekkadiki vellav_201,meeru ekkadiki vellaru_201,Where did you go? (201)
vachava_202,meeru vachara_202,Did you come? (202)
tinnava_203,meeru tinnara_203,Did you eat? (203)
endhuku ila cheptunnav_204,meeru endhuku ila cheptunnaru_204,Why are you saying like this? (204)
em chestunnav_205,emi chestunnaru_205,What are you doing? (205)
nuvvu ekkadiki vellav_206,meeru ekkadiki vellaru_206,Where did you go? (206)
vachava_207,meeru vachara_207,Did you come? (207)
tinnava_208,meeru tinnara_208,Did you eat? (208)
endhuku ila cheptunnav_209,meeru endhuku ila cheptunnaru_209,Why are you saying like this? (209)
em chestunnav_210,emi chestunnaru_210,What are you doing? (210)
nuvvu ekkadiki vellav_211,meeru ekkadiki vellaru_211,Where did you go? (211)
vachava_212,meeru vachara_212,Did you come? (212)
tinnava_213,meeru tinnara_213,Did you eat? (213)
endhuku ila cheptunnav_214,meeru endhuku ila cheptunnaru_214,Why are you saying like this? (214)
em chestunnav_215,emi chestunnaru_215,What are you doing? (215)
nuvvu ekkadiki vellav_216,meeru ekkadiki vellaru_216,Where did you go? (216)
vachava_217,meeru vachara_217,Did you come? (217)
tinnava_218,meeru tinnara_218,Did you eat? (218)
endhuku ila cheptunnav_219,meeru endhuku ila cheptunnaru_219,Why are you saying like this? (219)
em chestunnav_220,emi chestunnaru_220,What are you doing? (220)
nuvvu ekkadiki vellav_221,meeru ekkadiki vellaru_221,Where did you go? (221)
vachava_222,meeru vachara_222,Did you come? (222)
tinnava_223,meeru tinnara_223,Did you eat? (223)
endhuku ila cheptunnav_224,meeru endhuku ila cheptunnaru_224,Why are you saying like this? (224)
em chestunnav_225,emi chestunnaru_225,What are you doing? (225)
nuvvu ekkadiki vellav_226,meeru ekkadiki vellaru_226,Where did you go? (226)
vachava_227,meeru vachara_227,Did you come? (227)
tinnava_228,meeru tinnara_228,Did you eat? (228)
endhuku ila cheptunnav_229,meeru endhuku ila cheptunnaru_229,Why are you saying like this? (229)
em chestunnav_230,emi chestunnaru_230,What are you doing? (230)
nuvvu ekkadiki vellav_231,meeru ekkadiki vellaru_231,Where did you go? (231)
vachava_232,meeru vachara_232,Did you come? (232)
tinnava_233,meeru tinnara_233,Did you eat? (233)
endhuku ila cheptunnav_234,meeru endhuku ila cheptunnaru_234,Why are you saying like this? (234)
em chestunnav_235,emi chestunnaru_235,What are you doing? (235)
nuvvu ekkadiki vellav_236,meeru ekkadiki vellaru_236,Where did you go? (236)
vachava_237,meeru vachara_237,Did you come? (237)
tinnava_238,meeru tinnara_238,Did you eat? (238)
endhuku ila cheptunnav_239,meeru endhuku ila cheptunnaru_239,Why are you saying like this? (239)
em chestunnav_240,emi chestunnaru_240,What are you doing? (240)
nuvvu ekkadiki vellav_241,meeru ekkadiki vellaru_241,Where did you go? (241)
vachava_242,meeru vachara_242,Did you come? (242)
tinnava_243,meeru tinnara_243,Did you eat? (243)
endhuku ila cheptunnav_244,meeru endhuku ila cheptunnaru_244,Why are you saying like this? (244)
em chestunnav_245,emi chestunnaru_245,What are you doing? (245)
nuvvu ekkadiki vellav_246,meeru ekkadiki vellaru_246,Where did you go? (246)
vachava_247,meeru vachara_247,Did you come? (247)
tinnava_248,meeru tinnara_248,Did you eat? (248)
endhuku ila cheptunnav_249,meeru endhuku ila cheptunnaru_249,Why are you saying like this? (249)
aabbaa,vaddu,No
eevi,veeti,These
cheppenaa,cheppaana,Should I say?
kottodaa,kottavaa,Will you beat?
podaraa,vellavaa,Will you go?
entira,enduku,Why?
rayya,ra,Come
avada,akkada,There
gaamuna,gramamlo,In the village
karuvetta,chekka,wood
chudraa,chooda,Look!
vellipora,vellipothunnanu,I'm going
cheseraa,chesaava,Did you do?
lekkalu,ganakalu,Accounts
thinnava,thinnaava,Did you eat?
ekkadira,ekkada ra,Where are you?
aaduko,aaduko,Play
antenaa,antunnava,Are you saying?
nuvvu evaru,meeru evaru,Who are you?
vachindiraa,vachindiraa,Has he come?
gaali,gaali,Wind
bhojanam,bhojanam,Food
velladamaa,vellamaa,Shall we go?
dabbulu,dabbu,Money
inte,idi,This one
ivvu,ivvu,Give
ravatledu,raaledu,Didn't come
ekkadaa,ekkada,Where?
chesinaa,chesina,Did (past tense)
vemmu,cheppu,Tell
baita,baitapadadam,Get out
kaaledu,kaaledu,Not there
neeku istanu,neeku isthanu,I'll give you
bokka,kallu,Leg
chuttalu,sneham,Relatives
poye,vellipo,Go
vachina,vachina,Arrived
mundu,mundu,Front
ippudu,ippudu,Now
yemi,emi,What?
meeku,meeku,To you
cheppaleda,cheppaledaa,Didn't I say?
emaina,emaina,Anything?
le,ledu,No
aithe,aithe,So
vinara,vinaraa,Didn't you hear?
choopinchaa,choopincha,Showed?
konnaa,konna,Bought?
kottaa,kottina,Beaten?
chediraa,chesaavaa,Did you do?
em chesthunnav,emi chesthunnaru,What are you doing?
em,emi,what
chesthunnav,chesthunnaru,are you doing
vellipothunnaru, vellipothunnaru, going away
